Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20
6/16/15,250.130005,253.440002,249.100006,253.119995,253.119995,1984700,251.2600006,251.2640014,249.6210007
6/17/15,252.169998,264.359985,252.020004,260.410004,260.410004,5512900,253.202002,252.4060013,250.2845009
6/18/15,262,263.459991,260.019989,261.890015,261.890015,2782700,255.2980042,254.003003,251.1615014
6/19/15,262.399994,263.799988,260.100006,262.51001,262.51001,2463000,257.6620058,255.3400041,252.0060021
6/22/15,262.149994,264.399994,255.690002,259.790009,259.790009,4561100,259.5440066,255.6900041,252.6090028
6/23/15,260.320007,268,258.570007,267.670013,267.670013,3870800,262.4540102,256.8570054,253.6195031
6/24/15,266.980011,267.350006,263.720001,265.170013,265.170013,2412300,263.406012,258.304007,254.5065041
6/25/15,266.450012,271.410004,265.25,268.790009,268.790009,2849200,264.7860108,260.0420075,255.3735047
6/26/15,268.890015,269.109985,266,267.089996,267.089996,3838400,265.702008,261.6820069,256.1880043
6/29/15,261.950012,265.950012,260.700012,262.019989,262.019989,3478900,266.148004,262.8460053,256.8165039
6/30/15,264.799988,270.920013,264,268.26001,268.26001,3086900,266.2660034,264.3600068,257.8120041
7/1/15,271.109985,272.619995,267.850006,269.149994,269.149994,2101200,267.0619996,265.2340058,258.8200036
7/2/15,280.200012,282.450012,273.309998,280.019989,280.019989,7163900,269.3079956,267.0470032,260.5250031
7/6/15,278.880005,281.690002,276.299988,279.720001,279.720001,4121900,271.8339966,268.7680023,262.0540032
7/7/15,275,275.200012,260.769989,267.880005,267.880005,6105100,273.0059998,269.5770019,262.633503
7/8/15,259.320007,260.799988,254.309998,254.960007,254.960007,6221100,270.3459992,268.3060013,262.5815034
7/9/15,259.079987,262.950012,256.790009,257.920013,257.920013,3334100,268.100003,267.5810013,262.9425042
7/10/15,262.220001,263,257.820007,259.149994,259.149994,2610900,263.926004,266.6169998,263.3295037
7/13/15,262.25,262.549988,256.049988,262.160004,262.160004,2960300,260.4140046,266.1240006,263.9030038
7/14/15,262.100006,265.98999,260.51001,265.649994,265.649994,1907600,259.9680024,266.4870011,264.6665032
7/15/15,266.73999,267.48999,262.079987,263.140015,263.140015,2021600,261.604004,265.9750016,265.1675042
7/16/15,264.220001,267.200012,263.160004,266.679993,266.679993,1616000,263.356,265.7280015,265.4810037
7/17/15,272.5,275.540009,268.25,274.660004,274.660004,5004100,266.458002,265.192003,266.1195031
7/20/15,275,286.649994,272.540009,282.26001,282.26001,4978500,270.4780032,265.4460039,267.1070031
7/21/15,270.049988,273.5,266.549988,266.769989,266.769989,6108700,270.7020022,265.3350023,267.4560021
7/22/15,261.269989,269.440002,260.859985,267.869995,267.869995,3105000,271.6479982,266.6260011,267.4660012
7/23/15,269.649994,269.899994,265.269989,267.200012,267.200012,2227200,271.752002,267.554001,267.5675012
7/24/15,267.380005,271.089996,263.920013,265.410004,265.410004,2836500,269.902002,268.180002,267.3985009
7/27/15,262.429993,264.429993,250.789993,253.009995,253.009995,4694200,264.051999,267.2650011,266.6945009
7/28/15,255.75,265.399994,251.839996,264.820007,264.820007,3895800,263.6620026,267.1820024,266.8345018
7/29/15,264.269989,267.890015,262,263.820007,263.820007,2790100,262.852005,267.2500016,266.6125016
7/30/15,262.690002,266.940002,262.109985,266.790009,266.790009,2034600,262.7700044,267.2610032,266.4945024
7/31/15,267.600006,269.359985,265.119995,266.149994,266.149994,2222600,262.9180024,266.4100022,265.8010026
8/3/15,266.290009,266.709991,257.070007,259.98999,259.98999,2553500,264.3140014,264.1830002,264.8145021
8/4/15,260.01001,266.720001,258.339996,266.279999,266.279999,2352500,264.6059998,264.1340012,264.7345018
8/5/15,263.579987,271,260.399994,270.130005,270.130005,6214300,265.8679994,264.3600022,265.4930017
8/6/15,249.539993,255,236.119995,246.130005,246.130005,14623800,261.7359986,262.2530015,264.9035013
8/7/15,243.580002,243.729996,238.389999,242.509995,242.509995,5073400,257.0079988,259.9630006,264.0715013
8/10/15,238.149994,242.970001,236.050003,241.139999,241.139999,4185900,253.2380006,258.776001,263.0205011
8/11/15,237.149994,239.300003,234.440002,237.369995,237.369995,4253300,247.4559998,256.0309998,261.6065011
8/12/15,235,239.770004,232.740005,238.169998,238.169998,3728000,241.0639984,253.4659989,260.3580003
8/13/15,239.860001,246.479996,239.119995,242.509995,242.509995,4689200,240.3399964,251.0379975,259.1495004
8/14/15,247.240005,247.929993,241.770004,243.149994,243.149994,4351700,240.4679962,248.7379975,257.5739999
8/17/15,255.559998,256.589996,250.509995,254.990005,254.990005,7176700,243.2379974,248.237999,256.2104996
8/18/15,255.380005,260.950012,253.559998,260.720001,260.720001,4195000,247.9079986,247.6819992,255.9080002
8/19/15,260.329987,260.649994,255.020004,255.25,255.25,3604300,251.323999,246.1939987,255.2770005
8/20/15,252.059998,254.559998,241.899994,242.179993,242.179993,4905800,251.2579986,245.7989975,254.0259995
8/21/15,236,243.800003,230.509995,230.770004,230.770004,6590200,248.7820006,244.6249984,252.2939995
8/24/15,202.789993,231.399994,195,218.869995,218.869995,9581600,241.5579986,242.397998,250.5869995
8/25/15,230.520004,230.899994,219.119995,220.029999,220.029999,4327300,233.4199982,240.6639984,248.3474991
8/26/15,227.929993,228,215.509995,224.839996,224.839996,4963000,227.3379974,239.3309982,246.3984986
8/27/15,231,244.75,230.809998,242.990005,242.990005,7656000,227.4999998,239.3789992,245.2084984
8/28/15,241.860001,251.449997,241.570007,248.479996,248.479996,5513700,231.0419982,239.9119994,244.3249985
8/31/15,245.619995,254.949997,245.509995,249.059998,249.059998,4680800,237.0799988,239.3189987,243.7784989
9/1/15,240.339996,246,236.970001,238.630005,238.630005,5454800,240.8,237.1099991,242.3959992
9/2/15,245.300003,247.880005,239.779999,247.690002,247.690002,4629200,245.3700012,236.3539993,241.273999
9/3/15,252.059998,252.080002,245,245.570007,245.570007,4194800,245.8860016,236.6930007,241.2459991
9/4/15,240.889999,244.089996,238.199997,241.929993,241.929993,3689200,244.576001,237.8089996,241.216999
9/8/15,245.050003,249.160004,244.050003,248.169998,248.169998,3138200,244.398001,240.7389999,241.568499
9/9/15,252.050003,254.25,248.300003,248.910004,248.910004,3384700,246.4540008,243.6270004,242.1454994
9/10/15,247.229996,250.720001,245.330002,248.479996,248.479996,2709000,246.6119996,245.9910004,242.6609993
9/11/15,247.639999,250.240005,244.729996,250.240005,250.240005,2350800,247.5459992,246.7160004,243.0474998
9/14/15,251.100006,254.25,249.669998,253.190002,253.190002,2890900,249.798001,247.187001,243.5495002
9/15/15,252.75,254.600006,249.5,253.570007,253.570007,2929300,250.8780028,247.6380019,243.4785003
9/16/15,253.039993,262.880005,252.880005,262.25,262.25,4417100,253.546002,250.0000014,243.5550003
9/17/15,263.959991,265.5,260.690002,262.070007,262.070007,3585800,256.2640042,251.4380019,243.8960006
9/18/15,257.959991,263.820007,257.5,260.619995,260.619995,3739800,258.3400022,252.9430007,244.8180007
9/21/15,263.980011,271.570007,255.800003,264.200012,264.200012,6120200,260.5420042,255.1700026,246.4895011
9/22/15,259.029999,262.649994,255.869995,260.940002,260.940002,3664400,262.0160032,256.447003,248.5930015
9/23/15,261.950012,262.079987,257.579987,261.059998,261.059998,2600800,261.7780028,257.6620024,250.6445014
9/24/15,259.529999,263.450012,256.209991,263.119995,263.119995,3448200,261.9880004,259.1260023,252.5585014
